   Vs(kts)     Hi(m) sigf(kPa)  R_br(kN)  R_cl(kN)  R_bu(kN)   R_i(kN)
     4.00      2.00    700.00      17.8    1391.6    1041.4    2450.7
     4.00      2.10    700.00      18.9    1461.1    1093.4    2573.5
     4.00      2.20    700.00      20.0    1530.7    1145.5    2696.3
     4.00      2.30    700.00      21.2    1600.3    1197.6    2819.1
     4.00      2.40    700.00      22.4    1669.9    1249.6    2941.9
     4.00      2.50    700.00      23.5    1739.5    1301.7    3064.7
     4.00      2.60    700.00      24.7    1809.0    1353.8    3187.5
     4.00      2.70    700.00      25.9    1878.6    1405.8    3310.4
     4.00      2.80    700.00      27.1    1948.2    1457.9    3433.2
     4.00      2.90    700.00      28.3    2017.8    1510.0    3556.1
     4.00      3.00    700.00      29.5    2087.4    1562.0    3678.9
     4.00      1.00    750.00       8.0     695.8     520.7    1224.5
     4.00      1.10    750.00       9.0     765.4     572.7    1347.1
     4.00      1.20    750.00      10.1     834.9     624.8    1469.8
     4.00      1.30    750.00      11.1     904.5     676.9    1592.5
     4.00      1.40    750.00      12.2     974.1     729.0    1715.3
     4.00      1.50    750.00      13.3    1043.7     781.0    1838.0
     4.00      1.60    750.00      14.4    1113.3     833.1    1960.8
     4.00      1.70    750.00      15.6    1182.8     885.2    2083.6
     4.00      1.80    750.00      16.7    1252.4     937.2    2206.4
     4.00      1.90    750.00      17.9    1322.0     989.3    2329.2
     4.00      2.00    750.00      19.1    1391.6    1041.4    2452.0
     4.00      2.10    750.00      20.3    1461.1    1093.4    2574.8
     4.00      2.20    750.00      21.5    1530.7    1145.5    2697.7
     4.00      2.30    750.00      22.7    1600.3    1197.6    2820.6
     4.00      2.40    750.00      23.9    1669.9    1249.6    2943.5
     4.00      2.50    750.00      25.2    1739.5    1301.7    3066.4
     4.00      2.60    750.00      26.5    1809.0    1353.8    3189.3
     4.00      2.70    750.00      27.7    1878.6    1405.8    3312.2
     4.00      2.80    750.00      29.0    1948.2    1457.9    3435.1
